# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229400      0.19118898      0.19118898
    -13.62829360      0.19121923      0.19121923
    -13.62429320      0.19124495      0.19124495
    -13.62029280      0.19126607      0.19126607
    -13.61629240      0.19128250      0.19128250
    -13.61229200      0.19129417      0.19129417
    -13.60829160      0.19130100      0.19130100
    -13.60429120      0.19130292      0.19130292
    -13.60029080      0.19129985      0.19129985
    -13.59629040      0.19129172      0.19129172
    -13.59229000      0.19127847      0.19127847
    -13.58828960      0.19126001      0.19126001
    -13.58428920      0.19123627      0.19123627
    -13.58028880      0.19120719      0.19120719
    -13.57628840      0.19117271      0.19117271
    -13.57228800      0.19113275      0.19113275
    -13.56828760      0.19108724      0.19108724
    -13.56428720      0.19103613      0.19103613
    -13.56028680      0.19097936      0.19097936
    -13.55628640      0.19091686      0.19091686
    -13.55228600      0.19084857      0.19084857
    -13.54828560      0.19077444      0.19077444
    -13.54428520      0.19069441      0.19069441
    -13.54028480      0.19060842      0.19060842
    -13.53628440      0.19051643      0.19051643
    -13.53228400      0.19041838      0.19041838
    -13.52828360      0.19031423      0.19031423
    -13.52428320      0.19020392      0.19020392
    -13.52028280      0.19008742      0.19008742
    -13.51628240      0.18996468      0.18996468
    -13.51228200      0.18983565      0.18983565
    -13.50828160      0.18970030      0.18970030
    -13.50428120      0.18955859      0.18955859
    -13.50028080      0.18941049      0.18941049
    -13.49628040      0.18925597      0.18925597
    -13.49228000      0.18909498      0.18909498
    -13.48827960      0.18892751      0.18892751
    -13.48427920      0.18875353      0.18875353
    -13.48027880      0.18857301      0.18857301
    -13.47627840      0.18838593      0.18838593
    -13.47227800      0.18819227      0.18819227
    -13.46827760      0.18799202      0.18799202
    -13.46427720      0.18778515      0.18778515
    -13.46027680      0.18757166      0.18757166
    -13.45627640      0.18735154      0.18735154
    -13.45227600      0.18712477      0.18712477
    -13.44827560      0.18689136      0.18689136
    -13.44427520      0.18665129      0.18665129
    -13.44027480      0.18640458      0.18640458
    -13.43627440      0.18615121      0.18615121
    -13.43227400      0.18589119      0.18589119
    -13.42827360      0.18562454      0.18562454
    -13.42427320      0.18535125      0.18535125
    -13.42027280      0.18507134      0.18507134
    -13.41627240      0.18478483      0.18478483
    -13.41227200      0.18449173      0.18449173
    -13.40827160      0.18419205      0.18419205
    -13.40427120      0.18388582      0.18388582
    -13.40027080      0.18357307      0.18357307
    -13.39627040      0.18325381      0.18325381
    -13.39227000      0.18292808      0.18292808
    -13.38826960      0.18259591      0.18259591
    -13.38426920      0.18225733      0.18225733
    -13.38026880      0.18191238      0.18191238
    -13.37626840      0.18156109      0.18156109
    -13.37226800      0.18120350      0.18120350
    -13.36826760      0.18083966      0.18083966
    -13.36426720      0.18046962      0.18046962
    -13.36026680      0.18009341      0.18009341
    -13.35626640      0.17971109      0.17971109
    -13.35226600      0.17932271      0.17932271
    -13.34826560      0.17892832      0.17892832
    -13.34426520      0.17852799      0.17852799
    -13.34026480      0.17812176      0.17812176
    -13.33626440      0.17770970      0.17770970
    -13.33226400      0.17729187      0.17729187
    -13.32826360      0.17686834      0.17686834
    -13.32426320      0.17643917      0.17643917
    -13.32026280      0.17600444      0.17600444
    -13.31626240      0.17556420      0.17556420
    -13.31226200      0.17511855      0.17511855
    -13.30826160      0.17466754      0.17466754
    -13.30426120      0.17421126      0.17421126
    -13.30026080      0.17374978      0.17374978
    -13.29626040      0.17328319      0.17328319
    -13.29226000      0.17281157      0.17281157
    -13.28825960      0.17233500      0.17233500
    -13.28425920      0.17185357      0.17185357
    -13.28025880      0.17136736      0.17136736
    -13.27625840      0.17087647      0.17087647
    -13.27225800      0.17038098      0.17038098
    -13.26825760      0.16988099      0.16988099
    -13.26425720      0.16937659      0.16937659
    -13.26025680      0.16886787      0.16886787
    -13.25625640      0.16835493      0.16835493
    -13.25225600      0.16783788      0.16783788
    -13.24825560      0.16731680      0.16731680
    -13.24425520      0.16679180      0.16679180
    -13.24025480      0.16626298      0.16626298
    -13.23625440      0.16573045      0.16573045
    -13.23225400      0.16519431      0.16519431
    -13.22825360      0.16465466      0.16465466
