# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.19970434      0.19970434
    -19.99599960      0.20014842      0.20014842
    -19.99199920      0.20059294      0.20059294
    -19.98799880      0.20103750      0.20103750
    -19.98399840      0.20148163      0.20148163
    -19.97999800      0.20192490      0.20192490
    -19.97599760      0.20236680      0.20236680
    -19.97199720      0.20280686      0.20280686
    -19.96799680      0.20324455      0.20324455
    -19.96399640      0.20367934      0.20367934
    -19.95999600      0.20411069      0.20411069
    -19.95599560      0.20453804      0.20453804
    -19.95199520      0.20496080      0.20496080
    -19.94799480      0.20537840      0.20537840
    -19.94399440      0.20579022      0.20579022
    -19.93999400      0.20619565      0.20619565
    -19.93599360      0.20659407      0.20659407
    -19.93199320      0.20698483      0.20698483
    -19.92799280      0.20736729      0.20736729
    -19.92399240      0.20774080      0.20774080
    -19.91999200      0.20810469      0.20810469
    -19.91599160      0.20845831      0.20845831
    -19.91199120      0.20880097      0.20880097
    -19.90799080      0.20913201      0.20913201
    -19.90399040      0.20945075      0.20945075
    -19.89999000      0.20975651      0.20975651
    -19.89598960      0.21004863      0.21004863
    -19.89198920      0.21032643      0.21032643
    -19.88798880      0.21058924      0.21058924
    -19.88398840      0.21083641      0.21083641
    -19.87998800      0.21106729      0.21106729
    -19.87598760      0.21128122      0.21128122
    -19.87198720      0.21147758      0.21147758
    -19.86798680      0.21165574      0.21165574
    -19.86398640      0.21181511      0.21181511
    -19.85998600      0.21195508      0.21195508
    -19.85598560      0.21207509      0.21207509
    -19.85198520      0.21217459      0.21217459
    -19.84798480      0.21225302      0.21225302
    -19.84398440      0.21230989      0.21230989
    -19.83998400      0.21234470      0.21234470
    -19.83598360      0.21235699      0.21235699
    -19.83198320      0.21234631      0.21234631
    -19.82798280      0.21231225      0.21231225
    -19.82398240      0.21225442      0.21225442
    -19.81998200      0.21217248      0.21217248
    -19.81598160      0.21206608      0.21206608
    -19.81198120      0.21193495      0.21193495
    -19.80798080      0.21177881      0.21177881
    -19.80398040      0.21159743      0.21159743
    -19.79998000      0.21139063      0.21139063
    -19.79597960      0.21115824      0.21115824
    -19.79197920      0.21090013      0.21090013
    -19.78797880      0.21061622      0.21061622
    -19.78397840      0.21030644      0.21030644
    -19.77997800      0.20997079      0.20997079
