# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367706 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229400      0.17785594      0.17785594
    -13.62829360      0.17789370      0.17789370
    -13.62429320      0.17793118      0.17793118
    -13.62029280      0.17796829      0.17796829
    -13.61629240      0.17800496      0.17800496
    -13.61229200      0.17804109      0.17804109
    -13.60829160      0.17807660      0.17807660
    -13.60429120      0.17811140      0.17811140
    -13.60029080      0.17814541      0.17814541
    -13.59629040      0.17817853      0.17817853
    -13.59229000      0.17821068      0.17821068
    -13.58828960      0.17824177      0.17824177
    -13.58428920      0.17827169      0.17827169
    -13.58028880      0.17830037      0.17830037
    -13.57628840      0.17832771      0.17832771
    -13.57228800      0.17835361      0.17835361
    -13.56828760      0.17837799      0.17837799
    -13.56428720      0.17840074      0.17840074
    -13.56028680      0.17842177      0.17842177
    -13.55628640      0.17844099      0.17844099
    -13.55228600      0.17845830      0.17845830
    -13.54828560      0.17847361      0.17847361
    -13.54428520      0.17848681      0.17848681
    -13.54028480      0.17849783      0.17849783
    -13.53628440      0.17850655      0.17850655
    -13.53228400      0.17851288      0.17851288
    -13.52828360      0.17851673      0.17851673
    -13.52428320      0.17851800      0.17851800
    -13.52028280      0.17851660      0.17851660
    -13.51628240      0.17851242      0.17851242
    -13.51228200      0.17850539      0.17850539
    -13.50828160      0.17849539      0.17849539
    -13.50428120      0.17848234      0.17848234
    -13.50028080      0.17846615      0.17846615
    -13.49628040      0.17844671      0.17844671
    -13.49228000      0.17842394      0.17842394
    -13.48827960      0.17839776      0.17839776
    -13.48427920      0.17836805      0.17836805
    -13.48027880      0.17833475      0.17833475
    -13.47627840      0.17829775      0.17829775
    -13.47227800      0.17825697      0.17825697
    -13.46827760      0.17821232      0.17821232
    -13.46427720      0.17816372      0.17816372
    -13.46027680      0.17811108      0.17811108
    -13.45627640      0.17805431      0.17805431
    -13.45227600      0.17799335      0.17799335
    -13.44827560      0.17792809      0.17792809
    -13.44427520      0.17785848      0.17785848
    -13.44027480      0.17778441      0.17778441
    -13.43627440      0.17770583      0.17770583
    -13.43227400      0.17762265      0.17762265
    -13.42827360      0.17753481      0.17753481
    -13.42427320      0.17744222      0.17744222
    -13.42027280      0.17734482      0.17734482
    -13.41627240      0.17724255      0.17724255
    -13.41227200      0.17713532      0.17713532
    -13.40827160      0.17702309      0.17702309
    -13.40427120      0.17690578      0.17690578
    -13.40027080      0.17678334      0.17678334
    -13.39627040      0.17665570      0.17665570
    -13.39227000      0.17652282      0.17652282
    -13.38826960      0.17638463      0.17638463
    -13.38426920      0.17624109      0.17624109
    -13.38026880      0.17609213      0.17609213
    -13.37626840      0.17593773      0.17593773
    -13.37226800      0.17577782      0.17577782
    -13.36826760      0.17561237      0.17561237
    -13.36426720      0.17544134      0.17544134
    -13.36026680      0.17526468      0.17526468
    -13.35626640      0.17508236      0.17508236
    -13.35226600      0.17489435      0.17489435
    -13.34826560      0.17470062      0.17470062
    -13.34426520      0.17450114      0.17450114
    -13.34026480      0.17429588      0.17429588
    -13.33626440      0.17408482      0.17408482
    -13.33226400      0.17386793      0.17386793
    -13.32826360      0.17364521      0.17364521
    -13.32426320      0.17341663      0.17341663
    -13.32026280      0.17318219      0.17318219
