# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.16445818      0.16445818
    -19.99599960      0.16439009      0.16439009
    -19.99199920      0.16432164      0.16432164
    -19.98799880      0.16425283      0.16425283
    -19.98399840      0.16418366      0.16418366
    -19.97999800      0.16411414      0.16411414
    -19.97599760      0.16404428      0.16404428
    -19.97199720      0.16397406      0.16397406
    -19.96799680      0.16390351      0.16390351
    -19.96399640      0.16383261      0.16383261
    -19.95999600      0.16376138      0.16376138
    -19.95599560      0.16368982      0.16368982
    -19.95199520      0.16361794      0.16361794
    -19.94799480      0.16354573      0.16354573
    -19.94399440      0.16347320      0.16347320
    -19.93999400      0.16340035      0.16340035
    -19.93599360      0.16332720      0.16332720
    -19.93199320      0.16325373      0.16325373
    -19.92799280      0.16317996      0.16317996
    -19.92399240      0.16310589      0.16310589
    -19.91999200      0.16303153      0.16303153
    -19.91599160      0.16295688      0.16295688
    -19.91199120      0.16288193      0.16288193
    -19.90799080      0.16280671      0.16280671
    -19.90399040      0.16273121      0.16273121
    -19.89999000      0.16265543      0.16265543
    -19.89598960      0.16257938      0.16257938
    -19.89198920      0.16250307      0.16250307
    -19.88798880      0.16242649      0.16242649
    -19.88398840      0.16234966      0.16234966
    -19.87998800      0.16227258      0.16227258
    -19.87598760      0.16219525      0.16219525
    -19.87198720      0.16211768      0.16211768
    -19.86798680      0.16203987      0.16203987
    -19.86398640      0.16196182      0.16196182
    -19.85998600      0.16188355      0.16188355
    -19.85598560      0.16180505      0.16180505
    -19.85198520      0.16172634      0.16172634
    -19.84798480      0.16164741      0.16164741
    -19.84398440      0.16156827      0.16156827
    -19.83998400      0.16148892      0.16148892
    -19.83598360      0.16140938      0.16140938
    -19.83198320      0.16132964      0.16132964
    -19.82798280      0.16124971      0.16124971
    -19.82398240      0.16116960      0.16116960
    -19.81998200      0.16108931      0.16108931
    -19.81598160      0.16100885      0.16100885
    -19.81198120      0.16092821      0.16092821
    -19.80798080      0.16084741      0.16084741
    -19.80398040      0.16076646      0.16076646
    -19.79998000      0.16068535      0.16068535
    -19.79597960      0.16060409      0.16060409
    -19.79197920      0.16052269      0.16052269
    -19.78797880      0.16044115      0.16044115
    -19.78397840      0.16035949      0.16035949
    -19.77997800      0.16027769      0.16027769
    -19.77597760      0.16019578      0.16019578
    -19.77197720      0.16011374      0.16011374
    -19.76797680      0.16003160      0.16003160
    -19.76397640      0.15994936      0.15994936
    -19.75997600      0.15986702      0.15986702
    -19.75597560      0.15978458      0.15978458
    -19.75197520      0.15970206      0.15970206
    -19.74797480      0.15961945      0.15961945
    -19.74397440      0.15953677      0.15953677
    -19.73997400      0.15945402      0.15945402
    -19.73597360      0.15937121      0.15937121
    -19.73197320      0.15928833      0.15928833
    -19.72797280      0.15920541      0.15920541
    -19.72397240      0.15912244      0.15912244
    -19.71997200      0.15903942      0.15903942
    -19.71597160      0.15895637      0.15895637
    -19.71197120      0.15887330      0.15887330
    -19.70797080      0.15879020      0.15879020
    -19.70397040      0.15870708      0.15870708
    -19.69997000      0.15862395      0.15862395
    -19.69596960      0.15854081      0.15854081
    -19.69196920      0.15845768      0.15845768
    -19.68796880      0.15837455      0.15837455
    -19.68396840      0.15829144      0.15829144
    -19.67996800      0.15820834      0.15820834
    -19.67596760      0.15812527      0.15812527
    -19.67196720      0.15804224      0.15804224
    -19.66796680      0.15795923      0.15795923
    -19.66396640      0.15787628      0.15787628
    -19.65996600      0.15779337      0.15779337
    -19.65596560      0.15771052      0.15771052
    -19.65196520      0.15762773      0.15762773
    -19.64796480      0.15754501      0.15754501
    -19.64396440      0.15746236      0.15746236
    -19.63996400      0.15737980      0.15737980
    -19.63596360      0.15729732      0.15729732
    -19.63196320      0.15721493      0.15721493
    -19.62796280      0.15713265      0.15713265
    -19.62396240      0.15705047      0.15705047
    -19.61996200      0.15696840      0.15696840
    -19.61596160      0.15688645      0.15688645
    -19.61196120      0.15680463      0.15680463
    -19.60796080      0.15672294      0.15672294
    -19.60396040      0.15664139      0.15664139
    -19.59996000      0.15655998      0.15655998
    -19.59595960      0.15647872      0.15647872
    -19.59195920      0.15639762      0.15639762
    -19.58795880      0.15631668      0.15631668
    -19.58395840      0.15623591      0.15623591
    -19.57995800      0.15615531      0.15615531
    -19.57595760      0.15607490      0.15607490
    -19.57195720      0.15599468      0.15599468
    -19.56795680      0.15591465      0.15591465
    -19.56395640      0.15583482      0.15583482
    -19.55995600      0.15575521      0.15575521
    -19.55595560      0.15567580      0.15567580
    -19.55195520      0.15559662      0.15559662
    -19.54795480      0.15551766      0.15551766
    -19.54395440      0.15543894      0.15543894
    -19.53995400      0.15536046      0.15536046
    -19.53595360      0.15528222      0.15528222
    -19.53195320      0.15520423      0.15520423
    -19.52795280      0.15512651      0.15512651
    -19.52395240      0.15504905      0.15504905
    -19.51995200      0.15497186      0.15497186
    -19.51595160      0.15489495      0.15489495
    -19.51195120      0.15481832      0.15481832
    -19.50795080      0.15474199      0.15474199
    -19.50395040      0.15466595      0.15466595
    -19.49994999      0.15459022      0.15459022
    -19.49594959      0.15451479      0.15451479
    -19.49194919      0.15443968      0.15443968
    -19.48794879      0.15436490      0.15436490
    -19.48394839      0.15429044      0.15429044
    -19.47994799      0.15421631      0.15421631
    -19.47594759      0.15414253      0.15414253
    -19.47194719      0.15406910      0.15406910
    -19.46794679      0.15399601      0.15399601
    -19.46394639      0.15392329      0.15392329
    -19.45994599      0.15385094      0.15385094
    -19.45594559      0.15377895      0.15377895
    -19.45194519      0.15370735      0.15370735
